"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US01003","Baldwin County, Alabama","200111","*****"
"0500000US01015","Calhoun County, Alabama","115916","*****"
"0500000US01043","Cullman County, Alabama","81289","*****"
"0500000US01049","DeKalb County, Alabama","71065","*****"
"0500000US01051","Elmore County, Alabama","80977","*****"
"0500000US01055","Etowah County, Alabama","103531","*****"
"0500000US01069","Houston County, Alabama","104193","*****"
"0500000US01073","Jefferson County, Alabama","660793","*****"
"0500000US01077","Lauderdale County, Alabama","93096","*****"
"0500000US01081","Lee County, Alabama","154255","*****"
"0500000US01083","Limestone County, Alabama","90787","*****"
"0500000US01089","Madison County, Alabama","350299","*****"
"0500000US01095","Marshall County, Alabama","94636","*****"
"0500000US01097","Mobile County, Alabama","415123","*****"
"0500000US01101","Montgomery County, Alabama","226189","*****"
"0500000US01103","Morgan County, Alabama","119607","*****"
"0500000US01115","St. Clair County, Alabama","86697","*****"
"0500000US01117","Shelby County, Alabama","206655","*****"
"0500000US01121","Talladega County, Alabama","81322","*****"
"0500000US01125","Tuscaloosa County, Alabama","202212","*****"
"0500000US01127","Walker County, Alabama","65471","*****"
"0500000US02020","Anchorage Municipality, Alaska","301010","*****"
"0500000US02090","Fairbanks North Star Borough, Alaska","99357","*****"
"0500000US02170","Matanuska-Susitna Borough, Alaska","97882","*****"
"0500000US04001","Apache County, Arizona","71828","*****"
"0500000US04003","Cochise County, Arizona","127448","*****"
"0500000US04005","Coconino County, Arizona","137682","*****"
"0500000US04013","Maricopa County, Arizona","4087191","*****"
"0500000US04015","Mohave County, Arizona","203361","*****"
"0500000US04017","Navajo County, Arizona","108101","*****"
"0500000US04019","Pima County, Arizona","1004516","*****"
"0500000US04021","Pinal County, Arizona","401918","*****"
"0500000US04025","Yavapai County, Arizona","218844","*****"
"0500000US04027","Yuma County, Arizona","203247","*****"
"0500000US05007","Benton County, Arkansas","242321","*****"
"0500000US05031","Craighead County, Arkansas","102518","*****"
"0500000US05045","Faulkner County, Arkansas","120768","*****"
"0500000US05051","Garland County, Arkansas","97322","*****"
"0500000US05069","Jefferson County, Arkansas","72297","*****"
"0500000US05085","Lonoke County, Arkansas","71557","*****"
"0500000US05119","Pulaski County, Arkansas","392702","*****"
"0500000US05125","Saline County, Arkansas","115719","*****"
"0500000US05131","Sebastian County, Arkansas","126776","*****"
"0500000US05143","Washington County, Arkansas","220792","*****"
"0500000US05145","White County, Arkansas","78592","*****"
"0500000US06001","Alameda County, California","1610921","*****"
"0500000US06007","Butte County, California","224241","*****"
"0500000US06013","Contra Costa County, California","1111339","*****"
"0500000US06017","El Dorado County, California","183087","*****"
"0500000US06019","Fresno County, California","965974","*****"
"0500000US06023","Humboldt County, California","134809","*****"
"0500000US06025","Imperial County, California","179091","*****"
"0500000US06029","Kern County, California","874589","*****"
"0500000US06031","Kings County, California","150269","*****"
"0500000US06033","Lake County, California","64184","*****"
"0500000US06037","Los Angeles County, California","10116705","*****"
"0500000US06039","Madera County, California","154548","*****"
"0500000US06041","Marin County, California","260750","*****"
"0500000US06045","Mendocino County, California","87869","*****"
"0500000US06047","Merced County, California","266353","*****"
"0500000US06053","Monterey County, California","431344","*****"
"0500000US06055","Napa County, California","141667","*****"
"0500000US06057","Nevada County, California","98893","*****"
"0500000US06059","Orange County, California","3145515","*****"
"0500000US06061","Placer County, California","371694","*****"
"0500000US06065","Riverside County, California","2329271","*****"
"0500000US06067","Sacramento County, California","1482026","*****"
"0500000US06071","San Bernardino County, California","2112619","*****"
"0500000US06073","San Diego County, California","3263431","*****"
"0500000US06075","San Francisco County, California","852469","*****"
"0500000US06077","San Joaquin County, California","715597","*****"
"0500000US06079","San Luis Obispo County, California","279083","*****"
"0500000US06081","San Mateo County, California","758581","*****"
"0500000US06083","Santa Barbara County, California","440668","*****"
"0500000US06085","Santa Clara County, California","1894605","*****"
"0500000US06087","Santa Cruz County, California","271804","*****"
"0500000US06089","Shasta County, California","179804","*****"
"0500000US06095","Solano County, California","431131","*****"
"0500000US06097","Sonoma County, California","500292","*****"
"0500000US06099","Stanislaus County, California","531997","*****"
"0500000US06101","Sutter County, California","95847","*****"
"0500000US06107","Tulare County, California","458198","*****"
"0500000US06111","Ventura County, California","846178","*****"
"0500000US06113","Yolo County, California","207590","*****"
"0500000US06115","Yuba County, California","73966","*****"
"0500000US08001","Adams County, Colorado","480718","*****"
"0500000US08005","Arapahoe County, Colorado","618821","*****"
"0500000US08013","Boulder County, Colorado","313333","*****"
"0500000US08031","Denver County, Colorado","663862","*****"
"0500000US08035","Douglas County, Colorado","314638","*****"
"0500000US08041","El Paso County, Colorado","663519","*****"
"0500000US08059","Jefferson County, Colorado","558503","*****"
"0500000US08069","Larimer County, Colorado","324122","*****"
"0500000US08077","Mesa County, Colorado","148255","*****"
"0500000US08101","Pueblo County, Colorado","161875","*****"
"0500000US08123","Weld County, Colorado","277670","*****"
"0500000US09001","Fairfield County, Connecticut","945438","*****"
"0500000US09003","Hartford County, Connecticut","897985","*****"
"0500000US09005","Litchfield County, Connecticut","184993","*****"
"0500000US09007","Middlesex County, Connecticut","164943","*****"
"0500000US09009","New Haven County, Connecticut","861277","*****"
"0500000US09011","New London County, Connecticut","273676","*****"
"0500000US09013","Tolland County, Connecticut","151367","*****"
"0500000US09015","Windham County, Connecticut","116998","*****"
"0500000US10001","Kent County, Delaware","171987","*****"
"0500000US10003","New Castle County, Delaware","552778","*****"
"0500000US10005","Sussex County, Delaware","210849","*****"
"0500000US11001","District of Columbia, District of Columbia","658893","*****"
"0500000US12001","Alachua County, Florida","256380","*****"
"0500000US12005","Bay County, Florida","178985","*****"
"0500000US12009","Brevard County, Florida","556885","*****"
"0500000US12011","Broward County, Florida","1869235","*****"
"0500000US12015","Charlotte County, Florida","168474","*****"
"0500000US12017","Citrus County, Florida","139377","*****"
"0500000US12019","Clay County, Florida","199798","*****"
"0500000US12021","Collier County, Florida","348777","*****"
"0500000US12023","Columbia County, Florida","67857","*****"
"0500000US12031","Duval County, Florida","897698","*****"
"0500000US12033","Escambia County, Florida","310659","*****"
"0500000US12035","Flagler County, Florida","102408","*****"
"0500000US12053","Hernando County, Florida","175855","*****"
"0500000US12055","Highlands County, Florida","98236","*****"
"0500000US12057","Hillsborough County, Florida","1316298","*****"
"0500000US12061","Indian River County, Florida","144755","*****"
"0500000US12069","Lake County, Florida","315690","*****"
"0500000US12071","Lee County, Florida","679513","*****"
"0500000US12073","Leon County, Florida","283988","*****"
"0500000US12081","Manatee County, Florida","351746","*****"
"0500000US12083","Marion County, Florida","339167","*****"
"0500000US12085","Martin County, Florida","153392","*****"
"0500000US12086","Miami-Dade County, Florida","2662874","*****"
"0500000US12087","Monroe County, Florida","77136","*****"
"0500000US12089","Nassau County, Florida","76619","*****"
"0500000US12091","Okaloosa County, Florida","196512","*****"
"0500000US12095","Orange County, Florida","1253001","*****"
"0500000US12097","Osceola County, Florida","310211","*****"
"0500000US12099","Palm Beach County, Florida","1397710","*****"
"0500000US12101","Pasco County, Florida","485331","*****"
"0500000US12103","Pinellas County, Florida","938098","*****"
"0500000US12105","Polk County, Florida","634638","*****"
"0500000US12107","Putnam County, Florida","72143","*****"
"0500000US12109","St. Johns County, Florida","217919","*****"
"0500000US12111","St. Lucie County, Florida","291028","*****"
"0500000US12113","Santa Rosa County, Florida","163422","*****"
"0500000US12115","Sarasota County, Florida","396962","*****"
"0500000US12117","Seminole County, Florida","442516","*****"
"0500000US12119","Sumter County, Florida","114350","*****"
"0500000US12127","Volusia County, Florida","507531","*****"
"0500000US13013","Barrow County, Georgia","73240","*****"
"0500000US13015","Bartow County, Georgia","101736","*****"
"0500000US13021","Bibb County, Georgia","153905","*****"
"0500000US13031","Bulloch County, Georgia","72087","*****"
"0500000US13045","Carroll County, Georgia","114093","*****"
"0500000US13047","Catoosa County, Georgia","65621","*****"
