"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US12061","Indian River County, Florida","141994","*****"
"0500000US12069","Lake County, Florida","308034","*****"
"0500000US12071","Lee County, Florida","661115","*****"
"0500000US12073","Leon County, Florida","281845","*****"
"0500000US12081","Manatee County, Florida","342106","*****"
"0500000US12083","Marion County, Florida","337362","*****"
"0500000US12085","Martin County, Florida","151263","*****"
"0500000US12086","Miami-Dade County, Florida","2617176","*****"
"0500000US12087","Monroe County, Florida","76351","*****"
"0500000US12089","Nassau County, Florida","75710","*****"
"0500000US12091","Okaloosa County, Florida","193811","*****"
"0500000US12095","Orange County, Florida","1225267","*****"
"0500000US12097","Osceola County, Florida","298504","*****"
"0500000US12099","Palm Beach County, Florida","1372171","*****"
"0500000US12101","Pasco County, Florida","475502","*****"
"0500000US12103","Pinellas County, Florida","929048","*****"
"0500000US12105","Polk County, Florida","623009","*****"
"0500000US12107","Putnam County, Florida","72577","*****"
"0500000US12109","St. Johns County, Florida","209647","*****"
"0500000US12111","St. Lucie County, Florida","286832","*****"
"0500000US12113","Santa Rosa County, Florida","161096","*****"
"0500000US12115","Sarasota County, Florida","390429","*****"
"0500000US12117","Seminole County, Florida","436041","*****"
"0500000US12119","Sumter County, Florida","107056","*****"
"0500000US12127","Volusia County, Florida","500800","*****"
"0500000US13013","Barrow County, Georgia","71453","*****"
"0500000US13015","Bartow County, Georgia","101273","*****"
"0500000US13021","Bibb County, Georgia","154721","*****"
"0500000US13031","Bulloch County, Georgia","71214","*****"
"0500000US13045","Carroll County, Georgia","112355","*****"
"0500000US13047","Catoosa County, Georgia","65311","*****"
"0500000US13051","Chatham County, Georgia","278434","*****"
"0500000US13057","Cherokee County, Georgia","225106","*****"
"0500000US13059","Clarke County, Georgia","121265","*****"
"0500000US13063","Clayton County, Georgia","264220","*****"
"0500000US13067","Cobb County, Georgia","717190","*****"
"0500000US13073","Columbia County, Georgia","135416","*****"
"0500000US13077","Coweta County, Georgia","133180","*****"
"0500000US13089","DeKalb County, Georgia","713340","*****"
"0500000US13095","Dougherty County, Georgia","92969","*****"
"0500000US13097","Douglas County, Georgia","136379","*****"
"0500000US13113","Fayette County, Georgia","108365","*****"
"0500000US13115","Floyd County, Georgia","95821","*****"
"0500000US13117","Forsyth County, Georgia","195405","*****"
"0500000US13121","Fulton County, Georgia","984293","*****"
"0500000US13127","Glynn County, Georgia","81508","*****"
"0500000US13135","Gwinnett County, Georgia","859304","*****"
"0500000US13139","Hall County, Georgia","187745","*****"
"0500000US13151","Henry County, Georgia","211128","*****"
"0500000US13153","Houston County, Georgia","147658","*****"
"0500000US13179","Liberty County, Georgia","64135","*****"
"0500000US13185","Lowndes County, Georgia","112916","*****"
"0500000US13215","Muscogee County, Georgia","202824","*****"
"0500000US13217","Newton County, Georgia","102446","*****"
"0500000US13223","Paulding County, Georgia","146950","*****"
"0500000US13245","Richmond County, Georgia","202003","*****"
"0500000US13247","Rockdale County, Georgia","86919","*****"
"0500000US13285","Troup County, Georgia","69053","*****"
"0500000US13295","Walker County, Georgia","68198","*****"
"0500000US13297","Walton County, Georgia","85754","*****"
"0500000US13313","Whitfield County, Georgia","102945","*****"
"0500000US15001","Hawaii County, Hawaii","190821","*****"
"0500000US15003","Honolulu County, Hawaii","983429","*****"
"0500000US15007","Kauai County, Hawaii","69512","*****"
"0500000US15009","Maui County, Hawaii","160195","65"
"0500000US16001","Ada County, Idaho","416464","*****"
"0500000US16005","Bannock County, Idaho","83249","*****"
"0500000US16019","Bonneville County, Idaho","107517","*****"
"0500000US16027","Canyon County, Idaho","198871","*****"
"0500000US16055","Kootenai County, Idaho","144265","*****"
"0500000US16083","Twin Falls County, Idaho","79957","*****"
"0500000US17001","Adams County, Illinois","67130","*****"
"0500000US17019","Champaign County, Illinois","204897","*****"
"0500000US17031","Cook County, Illinois","5240700","*****"
"0500000US17037","DeKalb County, Illinois","104741","*****"
"0500000US17043","DuPage County, Illinois","932126","*****"
"0500000US17089","Kane County, Illinois","523643","*****"
"0500000US17091","Kankakee County, Illinois","112120","*****"
"0500000US17093","Kendall County, Illinois","119348","*****"
"0500000US17097","Lake County, Illinois","703019","*****"
"0500000US17099","LaSalle County, Illinois","112183","*****"
"0500000US17111","McHenry County, Illinois","307409","*****"
"0500000US17113","McLean County, Illinois","174647","*****"
"0500000US17115","Macon County, Illinois","109278","*****"
"0500000US17119","Madison County, Illinois","267225","*****"
"0500000US17143","Peoria County, Illinois","188429","*****"
"0500000US17161","Rock Island County, Illinois","147258","*****"
"0500000US17163","St. Clair County, Illinois","266955","*****"
"0500000US17167","Sangamon County, Illinois","199145","*****"
"0500000US17179","Tazewell County, Illinois","136352","*****"
"0500000US17183","Vermilion County, Illinois","80329","*****"
"0500000US17197","Will County, Illinois","682829","*****"
"0500000US17199","Williamson County, Illinois","66924","*****"
"0500000US17201","Winnebago County, Illinois","290666","*****"
"0500000US18003","Allen County, Indiana","363014","*****"
"0500000US18005","Bartholomew County, Indiana","79587","*****"
