"TOTAL NONFARM, February 2001-December 2019",,,,,,,,,,,,
COMPOSITE SYNTHETIC ESTIMATES (February 2001-December 2018),,,,,,,,,,,,
EXTENDED COMPOSITE SYNTHETIC ESTIMATES (January 2019-December 2019),,,,,,,,,,,,
,,,Levels in Thousands,,,,,Rates in Percent,,,,
Period (YYYYMM),Metropolitan Statistical Area (MSA),MSA Code,Job Openings,Hires,Quits,Layoffs & Discharges,Total Separations,Job Openings Rate,Hires Rate,Quits Rate,Layoffs & Discharges Rate,Total Separations Rate
201803,"Detroit-Warren-Dearborn, MI",19820,87,65,33,20,55,4.2,3.2,1.6,1.0,2.8
201804,"Detroit-Warren-Dearborn, MI",19820,92,67,35,16,54,4.4,3.3,1.7,.8,2.7
201805,"Detroit-Warren-Dearborn, MI",19820,100,78,41,19,63,4.7,3.9,2.0,.9,3.1
201806,"Detroit-Warren-Dearborn, MI",19820,102,81,44,19,67,4.8,4.0,2.1,.9,3.3
201807,"Detroit-Warren-Dearborn, MI",19820,105,83,45,21,71,4.9,4.1,2.2,1.1,3.5
201808,"Detroit-Warren-Dearborn, MI",19820,108,80,48,21,73,5.0,3.9,2.4,1.0,3.6
201809,"Detroit-Warren-Dearborn, MI",19820,110,83,52,22,78,5.1,4.1,2.5,1.1,3.8
201810,"Detroit-Warren-Dearborn, MI",19820,110,83,50,21,74,5.1,4.0,2.4,1.0,3.6
201811,"Detroit-Warren-Dearborn, MI",19820,103,79,44,21,68,4.8,3.8,2.1,1.0,3.3
201812,"Detroit-Warren-Dearborn, MI",19820,98,72,39,25,67,4.6,3.5,1.9,1.2,3.3
201901,"Detroit-Warren-Dearborn, MI",19820,94,70,40,26,69,4.4,3.4,2.0,1.3,3.4
201902,"Detroit-Warren-Dearborn, MI",19820,90,65,41,25,69,4.2,3.2,2.0,1.2,3.4
201903,"Detroit-Warren-Dearborn, MI",19820,92,67,41,19,62,4.3,3.3,2.0,.9,3.1
201904,"Detroit-Warren-Dearborn, MI",19820,98,71,40,17,61,4.6,3.5,2.0,.9,3.0
201905,"Detroit-Warren-Dearborn, MI",19820,104,83,42,16,62,4.9,4.1,2.0,.8,3.0
201906,"Detroit-Warren-Dearborn, MI",19820,102,85,41,17,63,4.7,4.1,2.0,.8,3.1
201907,"Detroit-Warren-Dearborn, MI",19820,97,82,45,18,67,4.5,4.0,2.2,.9,3.2
201908,"Detroit-Warren-Dearborn, MI",19820,97,76,47,18,69,4.5,3.7,2.3,.9,3.4
201909,"Detroit-Warren-Dearborn, MI",19820,100,78,52,20,75,4.7,3.9,2.5,1.0,3.7
201910,"Detroit-Warren-Dearborn, MI",19820,102,75,46,20,69,4.8,3.7,2.3,1.0,3.4
201911,"Detroit-Warren-Dearborn, MI",19820,98,71,41,22,67,4.6,3.5,2.0,1.1,3.3
201912,"Detroit-Warren-Dearborn, MI",19820,93,63,35,27,66,4.4,3.1,1.7,1.3,3.2
200102,"Houston-The Woodlands-Sugar Land, TX",26420,72,67,37,25,67,3.0,2.9,1.6,1.1,2.9
200103,"Houston-The Woodlands-Sugar Land, TX",26420,72,71,40,23,68,3.0,3.1,1.8,1.0,3.0
200104,"Houston-The Woodlands-Sugar Land, TX",26420,75,79,42,22,68,3.1,3.4,1.8,.9,3.0
200105,"Houston-The Woodlands-Sugar Land, TX",26420,71,87,45,23,73,3.0,3.7,1.9,1.0,3.1
200106,"Houston-The Woodlands-Sugar Land, TX",26420,70,90,47,23,76,2.9,3.9,2.0,1.0,3.2
200107,"Houston-The Woodlands-Sugar Land, TX",26420,69,88,49,23,78,2.9,3.8,2.1,1.0,3.3
200108,"Houston-The Woodlands-Sugar Land, TX",26420,63,89,53,26,83,2.7,3.8,2.3,1.1,3.6
200109,"Houston-The Woodlands-Sugar Land, TX",26420,62,85,53,28,87,2.6,3.7,2.3,1.2,3.7
200110,"Houston-The Woodlands-Sugar Land, TX",26420,56,87,50,31,86,2.4,3.7,2.2,1.3,3.7
200111,"Houston-The Woodlands-Sugar Land, TX",26420,57,77,42,31,78,2.4,3.3,1.8,1.3,3.3
200112,"Houston-The Woodlands-Sugar Land, TX",26420,55,69,35,34,74,2.3,3.0,1.5,1.4,3.2
200201,"Houston-The Woodlands-Sugar Land, TX",26420,56,64,35,32,73,2.3,2.8,1.5,1.4,3.1
200202,"Houston-The Woodlands-Sugar Land, TX",26420,57,71,36,34,75,2.4,3.1,1.6,1.5,3.3
200203,"Houston-The Woodlands-Sugar Land, TX",26420,58,81,39,31,75,2.5,3.5,1.7,1.4,3.2
200204,"Houston-The Woodlands-Sugar Land, TX",26420,57,84,42,32,80,2.4,3.6,1.8,1.4,3.4
200205,"Houston-The Woodlands-Sugar Land, TX",26420,57,83,44,32,82,2.4,3.6,1.9,1.4,3.5
200206,"Houston-The Woodlands-Sugar Land, TX",26420,58,86,46,31,82,2.4,3.7,2.0,1.3,3.5
200207,"Houston-The Woodlands-Sugar Land, TX",26420,60,89,45,30,79,2.5,3.8,1.9,1.3,3.4
200208,"Houston-The Woodlands-Sugar Land, TX",26420,60,89,49,30,84,2.5,3.9,2.1,1.3,3.6
200209,"Houston-The Woodlands-Sugar Land, TX",26420,60,88,51,29,87,2.5,3.8,2.2,1.2,3.8
200210,"Houston-The Woodlands-Sugar Land, TX",26420,59,81,48,29,83,2.5,3.5,2.1,1.2,3.6
200211,"Houston-The Woodlands-Sugar Land, TX",26420,55,75,39,26,71,2.3,3.2,1.7,1.1,3.1
200212,"Houston-The Woodlands-Sugar Land, TX",26420,51,66,31,28,65,2.1,2.8,1.3,1.2,2.8
200301,"Houston-The Woodlands-Sugar Land, TX",26420,48,68,30,31,67,2.0,2.9,1.3,1.3,2.9
200302,"Houston-The Woodlands-Sugar Land, TX",26420,49,73,33,30,70,2.1,3.2,1.4,1.3,3.0
200303,"Houston-The Woodlands-Sugar Land, TX",26420,50,77,36,28,70,2.1,3.3,1.6,1.2,3.0
200304,"Houston-The Woodlands-Sugar Land, TX",26420,50,77,38,26,69,2.1,3.3,1.6,1.1,3.0
200305,"Houston-The Woodlands-Sugar Land, TX",26420,50,74,37,30,72,2.1,3.2,1.6,1.3,3.1
200306,"Houston-The Woodlands-Sugar Land, TX",26420,54,76,36,32,73,2.3,3.3,1.6,1.4,3.1
200307,"Houston-The Woodlands-Sugar Land, TX",26420,54,75,37,31,72,2.3,3.3,1.6,1.4,3.1
200308,"Houston-The Woodlands-Sugar Land, TX",26420,53,78,41,32,78,2.3,3.4,1.8,1.4,3.4
200309,"Houston-The Woodlands-Sugar Land, TX",26420,48,78,43,29,77,2.0,3.4,1.9,1.3,3.4
200310,"Houston-The Woodlands-Sugar Land, TX",26420,47,80,44,29,79,2.0,3.5,1.9,1.3,3.4
200311,"Houston-The Woodlands-Sugar Land, TX",26420,48,77,38,25,67,2.0,3.3,1.7,1.1,2.9
200312,"Houston-The Woodlands-Sugar Land, TX",26420,51,69,37,28,69,2.2,3.0,1.6,1.2,3.0
200401,"Houston-The Woodlands-Sugar Land, TX",26420,51,65,35,29,68,2.2,2.8,1.5,1.2,3.0
200402,"Houston-The Woodlands-Sugar Land, TX",26420,49,67,37,31,73,2.1,2.9,1.6,1.4,3.2
200403,"Houston-The Woodlands-Sugar Land, TX",26420,50,76,39,29,74,2.1,3.3,1.7,1.3,3.2
200404,"Houston-The Woodlands-Sugar Land, TX",26420,54,83,41,32,79,2.3,3.6,1.8,1.4,3.4
200405,"Houston-The Woodlands-Sugar Land, TX",26420,56,84,42,33,81,2.4,3.6,1.8,1.4,3.5
200406,"Houston-The Woodlands-Sugar Land, TX",26420,55,86,43,33,82,2.3,3.7,1.9,1.4,3.6
200407,"Houston-The Woodlands-Sugar Land, TX",26420,57,82,43,29,77,2.4,3.5,1.8,1.2,3.3
200408,"Houston-The Woodlands-Sugar Land, TX",26420,57,86,49,27,81,2.4,3.7,2.1,1.2,3.5
200409,"Houston-The Woodlands-Sugar Land, TX",26420,57,80,48,26,78,2.4,3.4,2.1,1.1,3.4
200410,"Houston-The Woodlands-Sugar Land, TX",26420,55,78,46,28,80,2.3,3.4,2.0,1.2,3.4
200411,"Houston-The Woodlands-Sugar Land, TX",26420,53,76,41,26,72,2.2,3.2,1.8,1.1,3.1
200412,"Houston-The Woodlands-Sugar Land, TX",26420,53,71,37,29,71,2.2,3.0,1.6,1.2,3.0
200501,"Houston-The Woodlands-Sugar Land, TX",26420,53,73,36,32,71,2.2,3.1,1.5,1.3,3.0
200502,"Houston-The Woodlands-Sugar Land, TX",26420,57,71,34,35,73,2.4,3.0,1.5,1.5,3.1
200503,"Houston-The Woodlands-Sugar Land, TX",26420,59,78,36,37,76,2.5,3.3,1.5,1.6,3.3
200504,"Houston-The Woodlands-Sugar Land, TX",26420,63,79,40,35,79,2.6,3.4,1.7,1.5,3.3
200505,"Houston-The Woodlands-Sugar Land, TX",26420,62,85,42,35,80,2.6,3.6,1.8,1.5,3.4
200506,"Houston-The Woodlands-Sugar Land, TX",26420,64,90,43,32,79,2.6,3.8,1.8,1.4,3.3
200507,"Houston-The Woodlands-Sugar Land, TX",26420,63,89,43,28,75,2.6,3.7,1.8,1.2,3.1
200508,"Houston-The Woodlands-Sugar Land, TX",26420,67,91,49,27,80,2.8,3.8,2.1,1.1,3.4
200509,"Houston-The Woodlands-Sugar Land, TX",26420,71,87,53,26,84,2.9,3.6,2.2,1.1,3.5
200510,"Houston-The Woodlands-Sugar Land, TX",26420,71,87,51,28,83,2.9,3.6,2.1,1.2,3.5
200511,"Houston-The Woodlands-Sugar Land, TX",26420,72,75,45,26,73,2.9,3.1,1.8,1.1,3.0
200512,"Houston-The Woodlands-Sugar Land, TX",26420,66,72,40,26,70,2.7,3.0,1.6,1.1,2.9
200601,"Houston-The Woodlands-Sugar Land, TX",26420,69,73,42,27,73,2.8,3.0,1.7,1.1,3.0
200602,"Houston-The Woodlands-Sugar Land, TX",26420,71,80,40,28,73,2.8,3.3,1.6,1.2,3.0
200603,"Houston-The Woodlands-Sugar Land, TX",26420,79,87,44,24,73,3.1,3.6,1.8,1.0,3.0
200604,"Houston-The Woodlands-Sugar Land, TX",26420,81,99,47,23,75,3.2,4.1,1.9,.9,3.1
200605,"Houston-The Woodlands-Sugar Land, TX",26420,82,103,51,22,79,3.2,4.2,2.1,.9,3.2
200606,"Houston-The Woodlands-Sugar Land, TX",26420,83,107,53,23,85,3.2,4.3,2.2,.9,3.4
200607,"Houston-The Woodlands-Sugar Land, TX",26420,82,100,54,23,85,3.2,4.0,2.2,.9,3.4
200608,"Houston-The Woodlands-Sugar Land, TX",26420,83,101,57,25,90,3.2,4.1,2.3,1.0,3.6
200609,"Houston-The Woodlands-Sugar Land, TX",26420,80,100,58,27,91,3.1,4.0,2.3,1.1,3.7
200610,"Houston-The Woodlands-Sugar Land, TX",26420,81,98,54,26,87,3.1,3.9,2.2,1.0,3.5
200611,"Houston-The Woodlands-Sugar Land, TX",26420,77,91,49,25,79,3.0,3.6,1.9,1.0,3.1
200612,"Houston-The Woodlands-Sugar Land, TX",26420,75,80,43,24,72,2.9,3.2,1.7,1.0,2.9
200701,"Houston-The Woodlands-Sugar Land, TX",26420,74,80,42,28,75,2.8,3.2,1.7,1.1,3.0
200702,"Houston-The Woodlands-Sugar Land, TX",26420,80,79,39,26,71,3.1,3.1,1.5,1.0,2.8
200703,"Houston-The Woodlands-Sugar Land, TX",26420,88,89,42,25,73,3.4,3.5,1.7,1.0,2.9
200704,"Houston-The Woodlands-Sugar Land, TX",26420,97,91,49,24,78,3.7,3.6,1.9,.9,3.0
200705,"Houston-The Woodlands-Sugar Land, TX",26420,104,99,54,24,83,3.9,3.9,2.1,.9,3.2
200706,"Houston-The Woodlands-Sugar Land, TX",26420,102,108,55,25,85,3.8,4.2,2.1,1.0,3.3
200707,"Houston-The Woodlands-Sugar Land, TX",26420,99,109,53,26,84,3.7,4.2,2.1,1.0,3.3
200708,"Houston-The Woodlands-Sugar Land, TX",26420,97,110,56,29,90,3.6,4.2,2.2,1.1,3.5
200709,"Houston-The Woodlands-Sugar Land, TX",26420,98,101,58,34,97,3.6,3.9,2.2,1.3,3.7
200710,"Houston-The Woodlands-Sugar Land, TX",26420,96,99,55,32,91,3.6,3.8,2.1,1.2,3.5
200711,"Houston-The Woodlands-Sugar Land, TX",26420,91,93,47,28,79,3.4,3.6,1.8,1.1,3.0
200712,"Houston-The Woodlands-Sugar Land, TX",26420,86,85,42,23,69,3.2,3.2,1.6,.9,2.6
200801,"Houston-The Woodlands-Sugar Land, TX",26420,83,77,40,25,69,3.1,2.9,1.5,.9,2.6
200802,"Houston-The Woodlands-Sugar Land, TX",26420,85,76,41,26,71,3.1,2.9,1.6,1.0,2.7
200803,"Houston-The Woodlands-Sugar Land, TX",26420,85,83,44,24,72,3.2,3.2,1.7,.9,2.8
200804,"Houston-The Woodlands-Sugar Land, TX",26420,87,89,48,24,76,3.2,3.4,1.8,.9,2.9
200805,"Houston-The Woodlands-Sugar Land, TX",26420,83,88,49,25,79,3.1,3.3,1.9,1.0,3.0
200806,"Houston-The Woodlands-Sugar Land, TX",26420,81,92,48,28,81,3.0,3.5,1.8,1.1,3.1
200807,"Houston-The Woodlands-Sugar Land, TX",26420,77,90,45,29,80,2.8,3.4,1.7,1.1,3.0
200808,"Houston-The Woodlands-Sugar Land, TX",26420,72,93,48,30,84,2.6,3.5,1.8,1.1,3.2
200809,"Houston-The Woodlands-Sugar Land, TX",26420,67,84,48,30,84,2.5,3.2,1.8,1.1,3.2
200810,"Houston-The Woodlands-Sugar Land, TX",26420,65,83,46,33,86,2.4,3.1,1.7,1.2,3.2
200811,"Houston-The Woodlands-Sugar Land, TX",26420,61,79,38,33,77,2.2,3.0,1.5,1.2,2.9
200812,"Houston-The Woodlands-Sugar Land, TX",26420,55,70,32,38,75,2.0,2.6,1.2,1.4,2.8
200901,"Houston-The Woodlands-Sugar Land, TX",26420,48,64,30,44,78,1.8,2.4,1.1,1.7,3.0
200902,"Houston-The Woodlands-Sugar Land, TX",26420,47,57,28,46,78,1.8,2.2,1.0,1.8,3.0
200903,"Houston-The Woodlands-Sugar Land, TX",26420,47,61,29,44,78,1.8,2.3,1.1,1.7,3.0
200904,"Houston-The Woodlands-Sugar Land, TX",26420,46,62,27,38,71,1.7,2.4,1.0,1.5,2.7
200905,"Houston-The Woodlands-Sugar Land, TX",26420,44,65,31,37,75,1.7,2.5,1.2,1.4,2.9
200906,"Houston-The Woodlands-Sugar Land, TX",26420,40,69,32,36,75,1.5,2.7,1.2,1.4,2.9
200907,"Houston-The Woodlands-Sugar Land, TX",26420,39,65,32,33,70,1.5,2.5,1.3,1.3,2.7
200908,"Houston-The Woodlands-Sugar Land, TX",26420,39,69,32,31,68,1.5,2.7,1.3,1.2,2.7
200909,"Houston-The Woodlands-Sugar Land, TX",26420,41,68,31,31,66,1.6,2.7,1.2,1.2,2.6
200910,"Houston-The Woodlands-Sugar Land, TX",26420,42,68,31,31,66,1.6,2.7,1.2,1.2,2.6
200911,"Houston-The Woodlands-Sugar Land, TX",26420,39,62,27,30,61,1.5,2.4,1.1,1.2,2.4
200912,"Houston-The Woodlands-Sugar Land, TX",26420,40,60,28,32,64,1.5,2.3,1.1,1.3,2.5
201001,"Houston-The Woodlands-Sugar Land, TX",26420,40,61,27,32,63,1.5,2.4,1.1,1.3,2.5
201002,"Houston-The Woodlands-Sugar Land, TX",26420,45,60,26,33,63,1.7,2.4,1.0,1.3,2.5
201003,"Houston-The Woodlands-Sugar Land, TX",26420,46,62,28,29,62,1.8,2.4,1.1,1.2,2.4
201004,"Houston-The Woodlands-Sugar Land, TX",26420,47,63,30,29,64,1.8,2.5,1.2,1.1,2.5
201005,"Houston-The Woodlands-Sugar Land, TX",26420,46,71,32,26,63,1.8,2.8,1.3,1.0,2.5
201006,"Houston-The Woodlands-Sugar Land, TX",26420,47,76,32,31,67,1.8,2.9,1.2,1.2,2.6
201007,"Houston-The Woodlands-Sugar Land, TX",26420,48,75,31,35,72,1.8,2.9,1.2,1.4,2.8
201008,"Houston-The Woodlands-Sugar Land, TX",26420,49,78,36,40,82,1.9,3.0,1.4,1.6,3.2
201009,"Houston-The Woodlands-Sugar Land, TX",26420,51,76,38,34,77,1.9,3.0,1.5,1.3,3.0
201010,"Houston-The Woodlands-Sugar Land, TX",26420,53,74,35,31,71,2.0,2.9,1.4,1.2,2.7
201011,"Houston-The Woodlands-Sugar Land, TX",26420,54,65,30,26,58,2.1,2.5,1.1,1.0,2.3
201012,"Houston-The Woodlands-Sugar Land, TX",26420,57,62,26,26,55,2.2,2.4,1.0,1.0,2.1
201101,"Houston-The Woodlands-Sugar Land, TX",26420,58,61,27,28,58,2.2,2.3,1.0,1.1,2.2
201102,"Houston-The Woodlands-Sugar Land, TX",26420,59,60,28,30,61,2.2,2.3,1.1,1.1,2.4
201103,"Houston-The Woodlands-Sugar Land, TX",26420,59,65,29,30,64,2.2,2.5,1.1,1.2,2.5
201104,"Houston-The Woodlands-Sugar Land, TX",26420,60,73,31,25,60,2.3,2.8,1.2,1.0,2.3
201105,"Houston-The Woodlands-Sugar Land, TX",26420,59,82,32,25,60,2.2,3.1,1.2,.9,2.3
201106,"Houston-The Woodlands-Sugar Land, TX",26420,61,85,34,28,67,2.3,3.2,1.3,1.1,2.6
201107,"Houston-The Woodlands-Sugar Land, TX",26420,61,82,37,34,76,2.3,3.1,1.4,1.3,2.9
201108,"Houston-The Woodlands-Sugar Land, TX",26420,65,88,44,36,85,2.4,3.3,1.7,1.4,3.2
201109,"Houston-The Woodlands-Sugar Land, TX",26420,67,90,46,36,86,2.5,3.4,1.7,1.4,3.3
201110,"Houston-The Woodlands-Sugar Land, TX",26420,70,94,43,37,83,2.6,3.5,1.6,1.4,3.1
201111,"Houston-The Woodlands-Sugar Land, TX",26420,73,85,35,39,79,2.7,3.2,1.3,1.5,2.9
201112,"Houston-The Woodlands-Sugar Land, TX",26420,73,76,32,41,76,2.7,2.8,1.2,1.5,2.9
201201,"Houston-The Woodlands-Sugar Land, TX",26420,77,74,33,44,82,2.8,2.8,1.2,1.7,3.1
201202,"Houston-The Woodlands-Sugar Land, TX",26420,83,73,35,39,78,3.0,2.7,1.3,1.5,2.9
201203,"Houston-The Woodlands-Sugar Land, TX",26420,90,83,39,35,79,3.2,3.1,1.5,1.3,3.0
201204,"Houston-The Woodlands-Sugar Land, TX",26420,95,93,43,30,78,3.4,3.5,1.6,1.1,2.9
201205,"Houston-The Woodlands-Sugar Land, TX",26420,94,106,47,33,86,3.4,3.9,1.7,1.2,3.2
201206,"Houston-The Woodlands-Sugar Land, TX",26420,89,115,49,38,94,3.2,4.2,1.8,1.4,3.4
201207,"Houston-The Woodlands-Sugar Land, TX",26420,83,108,48,35,88,2.9,3.9,1.7,1.3,3.2
201208,"Houston-The Woodlands-Sugar Land, TX",26420,80,109,50,46,102,2.8,4.0,1.8,1.7,3.7
201209,"Houston-The Woodlands-Sugar Land, TX",26420,81,103,49,42,96,2.9,3.8,1.8,1.5,3.5
201210,"Houston-The Woodlands-Sugar Land, TX",26420,82,113,52,45,102,2.9,4.1,1.9,1.6,3.7
201211,"Houston-The Woodlands-Sugar Land, TX",26420,78,103,48,34,85,2.7,3.7,1.7,1.2,3.1
201212,"Houston-The Woodlands-Sugar Land, TX",26420,73,92,43,32,80,2.6,3.3,1.5,1.2,2.9
201301,"Houston-The Woodlands-Sugar Land, TX",26420,71,85,38,33,76,2.5,3.1,1.4,1.2,2.7
201302,"Houston-The Woodlands-Sugar Land, TX",26420,76,81,37,30,73,2.7,2.9,1.3,1.1,2.6
201303,"Houston-The Woodlands-Sugar Land, TX",26420,83,83,40,30,76,2.9,3.0,1.4,1.1,2.7
201304,"Houston-The Woodlands-Sugar Land, TX",26420,90,85,44,26,75,3.1,3.0,1.6,.9,2.7
201305,"Houston-The Woodlands-Sugar Land, TX",26420,96,89,48,28,82,3.3,3.2,1.7,1.0,2.9
201306,"Houston-The Woodlands-Sugar Land, TX",26420,96,94,49,28,83,3.3,3.3,1.7,1.0,2.9
201307,"Houston-The Woodlands-Sugar Land, TX",26420,95,92,50,29,85,3.2,3.2,1.8,1.0,3.0
201308,"Houston-The Woodlands-Sugar Land, TX",26420,88,101,53,29,89,3.0,3.6,1.9,1.0,3.1
201309,"Houston-The Woodlands-Sugar Land, TX",26420,85,101,55,30,90,2.9,3.5,1.9,1.0,3.2
201310,"Houston-The Woodlands-Sugar Land, TX",26420,81,99,54,30,88,2.8,3.5,1.9,1.0,3.1
201311,"Houston-The Woodlands-Sugar Land, TX",26420,80,91,47,25,77,2.7,3.2,1.7,.9,2.7
201312,"Houston-The Woodlands-Sugar Land, TX",26420,80,84,41,26,71,2.7,2.9,1.4,.9,2.5
201401,"Houston-The Woodlands-Sugar Land, TX",26420,78,85,41,28,74,2.6,2.9,1.4,1.0,2.6
201402,"Houston-The Woodlands-Sugar Land, TX",26420,81,84,39,29,72,2.7,2.9,1.4,1.0,2.5
201403,"Houston-The Woodlands-Sugar Land, TX",26420,85,91,45,29,79,2.9,3.2,1.6,1.0,2.7
201404,"Houston-The Woodlands-Sugar Land, TX",26420,91,91,48,23,76,3.0,3.1,1.7,.8,2.6
201405,"Houston-The Woodlands-Sugar Land, TX",26420,91,93,55,24,85,3.0,3.2,1.9,.8,2.9
201406,"Houston-The Woodlands-Sugar Land, TX",26420,94,96,58,21,85,3.1,3.3,2.0,.7,2.9
201407,"Houston-The Woodlands-Sugar Land, TX",26420,100,102,60,22,87,3.3,3.5,2.0,.7,3.0
201408,"Houston-The Woodlands-Sugar Land, TX",26420,108,105,63,23,91,3.5,3.6,2.1,.8,3.1
201409,"Houston-The Woodlands-Sugar Land, TX",26420,109,104,62,25,92,3.6,3.5,2.1,.9,3.1
201410,"Houston-The Woodlands-Sugar Land, TX",26420,110,102,60,28,93,3.6,3.4,2.0,.9,3.1
201411,"Houston-The Woodlands-Sugar Land, TX",26420,104,96,53,27,86,3.4,3.2,1.8,.9,2.9
201412,"Houston-The Woodlands-Sugar Land, TX",26420,101,90,47,32,84,3.3,3.0,1.6,1.1,2.8
201501,"Houston-The Woodlands-Sugar Land, TX",26420,95,87,44,40,91,3.1,2.9,1.5,1.3,3.0
201502,"Houston-The Woodlands-Sugar Land, TX",26420,96,82,43,42,91,3.1,2.8,1.4,1.4,3.1
201503,"Houston-The Woodlands-Sugar Land, TX",26420,99,89,46,40,91,3.2,3.0,1.5,1.3,3.0
201504,"Houston-The Woodlands-Sugar Land, TX",26420,102,90,50,34,88,3.3,3.0,1.7,1.1,2.9
201505,"Houston-The Woodlands-Sugar Land, TX",26420,101,97,53,32,90,3.3,3.2,1.8,1.1,3.0
201506,"Houston-The Woodlands-Sugar Land, TX",26420,101,102,58,31,94,3.3,3.4,1.9,1.0,3.1
201507,"Houston-The Woodlands-Sugar Land, TX",26420,103,104,60,30,95,3.3,3.5,2.0,1.0,3.2
201508,"Houston-The Woodlands-Sugar Land, TX",26420,105,114,64,32,102,3.4,3.8,2.2,1.1,3.4
201509,"Houston-The Woodlands-Sugar Land, TX",26420,104,109,65,34,105,3.4,3.7,2.2,1.2,3.5
201510,"Houston-The Woodlands-Sugar Land, TX",26420,102,106,60,40,105,3.3,3.6,2.0,1.4,3.5
201511,"Houston-The Woodlands-Sugar Land, TX",26420,103,95,52,40,97,3.3,3.2,1.7,1.3,3.2
201512,"Houston-The Woodlands-Sugar Land, TX",26420,100,87,49,36,92,3.2,2.9,1.6,1.2,3.0
201601,"Houston-The Woodlands-Sugar Land, TX",26420,102,86,47,32,88,3.3,2.9,1.6,1.1,2.9
201602,"Houston-The Woodlands-Sugar Land, TX",26420,106,89,47,34,89,3.4,3.0,1.6,1.1,3.0
201603,"Houston-The Woodlands-Sugar Land, TX",26420,118,97,50,36,92,3.8,3.2,1.7,1.2,3.1
201604,"Houston-The Woodlands-Sugar Land, TX",26420,130,103,55,36,97,4.2,3.5,1.9,1.2,3.2
201605,"Houston-The Woodlands-Sugar Land, TX",26420,137,104,65,35,105,4.4,3.5,2.2,1.2,3.5
201606,"Houston-The Woodlands-Sugar Land, TX",26420,134,104,68,34,108,4.3,3.5,2.3,1.1,3.6
201607,"Houston-The Woodlands-Sugar Land, TX",26420,124,106,67,31,104,4.0,3.5,2.2,1.0,3.5
201608,"Houston-The Woodlands-Sugar Land, TX",26420,118,111,69,29,106,3.8,3.7,2.3,1.0,3.5
201609,"Houston-The Woodlands-Sugar Land, TX",26420,112,109,63,28,97,3.6,3.7,2.1,.9,3.3
201610,"Houston-The Woodlands-Sugar Land, TX",26420,109,110,65,30,101,3.5,3.7,2.2,1.0,3.4
201611,"Houston-The Woodlands-Sugar Land, TX",26420,105,100,60,30,97,3.4,3.3,2.0,1.0,3.2
201612,"Houston-The Woodlands-Sugar Land, TX",26420,102,95,60,32,98,3.3,3.2,2.0,1.1,3.3
201701,"Houston-The Woodlands-Sugar Land, TX",26420,98,90,51,31,90,3.2,3.0,1.7,1.0,3.0
201702,"Houston-The Woodlands-Sugar Land, TX",26420,96,93,48,29,84,3.1,3.1,1.6,1.0,2.8
201703,"Houston-The Woodlands-Sugar Land, TX",26420,102,102,51,29,87,3.3,3.4,1.7,1.0,2.9
201704,"Houston-The Woodlands-Sugar Land, TX",26420,113,103,57,29,93,3.6,3.4,1.9,1.0,3.1
201705,"Houston-The Woodlands-Sugar Land, TX",26420,113,107,57,33,95,3.6,3.6,1.9,1.1,3.2
201706,"Houston-The Woodlands-Sugar Land, TX",26420,115,118,67,37,111,3.6,3.9,2.2,1.2,3.7
201707,"Houston-The Woodlands-Sugar Land, TX",26420,113,118,72,39,117,3.6,3.9,2.4,1.3,3.9
201708,"Houston-The Woodlands-Sugar Land, TX",26420,114,131,80,39,127,3.6,4.3,2.7,1.3,4.2
201709,"Houston-The Woodlands-Sugar Land, TX",26420,117,126,73,37,116,3.7,4.2,2.4,1.2,3.9
201710,"Houston-The Woodlands-Sugar Land, TX",26420,115,131,71,36,113,3.7,4.3,2.3,1.2,3.8
201711,"Houston-The Woodlands-Sugar Land, TX",26420,112,115,62,35,102,3.6,3.8,2.0,1.2,3.4
201712,"Houston-The Woodlands-Sugar Land, TX",26420,100,101,52,38,97,3.2,3.3,1.7,1.2,3.2
201801,"Houston-The Woodlands-Sugar Land, TX",26420,102,100,47,39,93,3.3,3.3,1.5,1.3,3.1
201802,"Houston-The Woodlands-Sugar Land, TX",26420,110,105,48,38,91,3.5,3.4,1.6,1.2,3.0
201803,"Houston-The Woodlands-Sugar Land, TX",26420,116,115,54,35,94,3.7,3.8,1.8,1.2,3.1
201804,"Houston-The Woodlands-Sugar Land, TX",26420,121,117,62,31,98,3.8,3.8,2.0,1.0,3.2
201805,"Houston-The Woodlands-Sugar Land, TX",26420,124,124,68,34,108,3.9,4.0,2.2,1.1,3.5
201806,"Houston-The Woodlands-Sugar Land, TX",26420,137,134,72,39,117,4.3,4.4,2.3,1.3,3.8
201807,"Houston-The Woodlands-Sugar Land, TX",26420,145,135,70,39,115,4.5,4.4,2.3,1.3,3.7
201808,"Houston-The Woodlands-Sugar Land, TX",26420,148,135,74,39,119,4.6,4.4,2.4,1.3,3.9
201809,"Houston-The Woodlands-Sugar Land, TX",26420,149,136,76,33,115,4.6,4.4,2.5,1.1,3.7
201810,"Houston-The Woodlands-Sugar Land, TX",26420,152,140,78,32,116,4.7,4.5,2.5,1.0,3.7
201811,"Houston-The Woodlands-Sugar Land, TX",26420,164,129,70,31,107,5.0,4.1,2.2,1.0,3.4
201812,"Houston-The Woodlands-Sugar Land, TX",26420,171,116,66,33,105,5.2,3.7,2.1,1.1,3.4
201901,"Houston-The Woodlands-Sugar Land, TX",26420,165,115,65,37,109,5.0,3.7,2.1,1.2,3.5
